Field,Class,Package,HasGetter
serialVersionUID,SynchronizedSortedBag,org.apache.commons.collections4.bag,No
modCount,AbstractMapBag,org.apache.commons.collections4.bag,No
size,AbstractMapBag,org.apache.commons.collections4.bag,No
uniqueSet,AbstractMapBag,org.apache.commons.collections4.bag,No
map,AbstractMapBag,org.apache.commons.collections4.bag,No
serialVersionUID,SynchronizedBag,org.apache.commons.collections4.bag,No
serialVersionUID,TreeBag,org.apache.commons.collections4.bag,No
serialVersionUID,AbstractSortedBagDecorator,org.apache.commons.collections4.bag,No
serialVersionUID,CollectionSortedBag,org.apache.commons.collections4.bag,No
serialVersionUID,UnmodifiableBag,org.apache.commons.collections4.bag,No
serialVersionUID,AbstractBagDecorator,org.apache.commons.collections4.bag,No
serialVersionUID,PredicatedSortedBag,org.apache.commons.collections4.bag,No
serialVersionUID,HashBag,org.apache.commons.collections4.bag,No
serialVersionUID,TransformedSortedBag,org.apache.commons.collections4.bag,No
serialVersionUID,TransformedBag,org.apache.commons.collections4.bag,No
serialVersionUID,UnmodifiableSortedBag,org.apache.commons.collections4.bag,No
serialVersionUID,PredicatedBag,org.apache.commons.collections4.bag,No
serialVersionUID,CollectionBag,org.apache.commons.collections4.bag,No
shape,LayeredBloomFilter,org.apache.commons.collections4.bloomfilter,Yes
layerManager,LayeredBloomFilter,org.apache.commons.collections4.bloomfilter,No
DIVIDE_BY_64,BitMaps,org.apache.commons.collections4.bloomfilter,No
size,IndexFilter,org.apache.commons.collections4.bloomfilter,No
tracker,IndexFilter,org.apache.commons.collections4.bloomfilter,No
consumer,IndexFilter,org.apache.commons.collections4.bloomfilter,No
wrapped,WrappedBloomFilter,org.apache.commons.collections4.bloomfilter,No
filters,LayerManager,org.apache.commons.collections4.bloomfilter,No
filterSupplier,LayerManager,org.apache.commons.collections4.bloomfilter,No
extendCheck,LayerManager,org.apache.commons.collections4.bloomfilter,No
filterCleanup,LayerManager,org.apache.commons.collections4.bloomfilter,No
cleanup,Builder,org.apache.commons.collections4.bloomfilter,No
supplier,Builder,org.apache.commons.collections4.bloomfilter,No
filters,Builder,org.apache.commons.collections4.bloomfilter,No
filterSupplier,Builder,org.apache.commons.collections4.bloomfilter,No
extendCheck,Builder,org.apache.commons.collections4.bloomfilter,No
filterCleanup,Builder,org.apache.commons.collections4.bloomfilter,No
cleanup,Cleanup,org.apache.commons.collections4.bloomfilter,No
supplier,Cleanup,org.apache.commons.collections4.bloomfilter,No
filters,Cleanup,org.apache.commons.collections4.bloomfilter,No
filterSupplier,Cleanup,org.apache.commons.collections4.bloomfilter,No
extendCheck,Cleanup,org.apache.commons.collections4.bloomfilter,No
filterCleanup,Cleanup,org.apache.commons.collections4.bloomfilter,No
cleanup,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
supplier,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
filters,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
filterSupplier,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
extendCheck,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
filterCleanup,ExtendCheck,org.apache.commons.collections4.bloomfilter,No
initial,EnhancedDoubleHasher,org.apache.commons.collections4.bloomfilter,No
increment,EnhancedDoubleHasher,org.apache.commons.collections4.bloomfilter,No
indices,SparseBloomFilter,org.apache.commons.collections4.bloomfilter,No
shape,SparseBloomFilter,org.apache.commons.collections4.bloomfilter,Yes
shape,SimpleBloomFilter,org.apache.commons.collections4.bloomfilter,Yes
bitMap,SimpleBloomFilter,org.apache.commons.collections4.bloomfilter,No
cardinality,SimpleBloomFilter,org.apache.commons.collections4.bloomfilter,No
cells,ArrayCountingBloomFilter,org.apache.commons.collections4.bloomfilter,No
shape,ArrayCountingBloomFilter,org.apache.commons.collections4.bloomfilter,Yes
state,ArrayCountingBloomFilter,org.apache.commons.collections4.bloomfilter,No
numberOfHashFunctions,Shape,org.apache.commons.collections4.bloomfilter,Yes
LN_2,Shape,org.apache.commons.collections4.bloomfilter,No
DENOMINATOR,Shape,org.apache.commons.collections4.bloomfilter,No
numberOfBits,Shape,org.apache.commons.collections4.bloomfilter,Yes
nullsAreHigh,NullComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,NullComparator,org.apache.commons.collections4.comparators,No
nonNullComparator,NullComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,TransformingComparator,org.apache.commons.collections4.comparators,No
transformer,TransformingComparator,org.apache.commons.collections4.comparators,No
decorated,TransformingComparator,org.apache.commons.collections4.comparators,No
comparator,ReverseComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,ReverseComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,ComparatorChain,org.apache.commons.collections4.comparators,No
isLocked,ComparatorChain,org.apache.commons.collections4.comparators,No
orderingBits,ComparatorChain,org.apache.commons.collections4.comparators,No
comparatorChain,ComparatorChain,org.apache.commons.collections4.comparators,No
unknownObjectBehavior,FixedOrderComparator,org.apache.commons.collections4.comparators,Yes
serialVersionUID,FixedOrderComparator,org.apache.commons.collections4.comparators,No
isLocked,FixedOrderComparator,org.apache.commons.collections4.comparators,No
counter,FixedOrderComparator,org.apache.commons.collections4.comparators,No
map,FixedOrderComparator,org.apache.commons.collections4.comparators,No
TRUE_FIRST,BooleanComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,BooleanComparator,org.apache.commons.collections4.comparators,No
trueFirst,BooleanComparator,org.apache.commons.collections4.comparators,No
FALSE_FIRST,BooleanComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,ComparableComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,FixedSizeMap,org.apache.commons.collections4.map,No
MAX_SEGMENTS,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
entrySet,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
values,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
RETRIES_BEFORE_LOCK,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
identityComparisons,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
MAXIMUM_CAPACITY,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
keySet,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
segmentMask,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
segmentShift,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
segments,ConcurrentReferenceHashMap,org.apache.commons.collections4.map,No
MAX_SEGMENTS,Builder,org.apache.commons.collections4.map,No
DEFAULT_SOURCE_MAP,Builder,org.apache.commons.collections4.map,No
entrySet,Builder,org.apache.commons.collections4.map,No
sourceMap,Builder,org.apache.commons.collections4.map,No
values,Builder,org.apache.commons.collections4.map,No
initialCapacity,Builder,org.apache.commons.collections4.map,No
identityComparisons,Builder,org.apache.commons.collections4.map,No
valueReferenceType,Builder,org.apache.commons.collections4.map,No
keyReferenceType,Builder,org.apache.commons.collections4.map,No
segmentMask,Builder,org.apache.commons.collections4.map,No
segments,Builder,org.apache.commons.collections4.map,No
concurrencyLevel,Builder,org.apache.commons.collections4.map,No
loadFactor,Builder,org.apache.commons.collections4.map,No
options,Builder,org.apache.commons.collections4.map,No
RETRIES_BEFORE_LOCK,Builder,org.apache.commons.collections4.map,No
MAXIMUM_CAPACITY,Builder,org.apache.commons.collections4.map,No
keySet,Builder,org.apache.commons.collections4.map,No
segmentShift,Builder,org.apache.commons.collections4.map,No
serialVersionUID,PredicatedSortedMap,org.apache.commons.collections4.map,No
DEFAULT_BUCKETS,StaticBucketMap,org.apache.commons.collections4.map,No
buckets,StaticBucketMap,org.apache.commons.collections4.map,No
locks,StaticBucketMap,org.apache.commons.collections4.map,No
valueType,AbstractReferenceMap,org.apache.commons.collections4.map,No
keyType,AbstractReferenceMap,org.apache.commons.collections4.map,No
purgeValues,AbstractReferenceMap,org.apache.commons.collections4.map,No
